,quote_date,Dividend,underlying_bid_1545,symbol,expiration,strike,bid_1545,ask_1545,net_change,implied_volatility_1545,volume,Interest_rate,date_diff,expiration_group,Strike_diff,Strike_group
1344,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,28400.00,5.05,6.0, -1.65, 53.31,182.0,6.25,3.0,0_week,0.10261899382734585,plus_10
1345,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,28500.00,5.55,5.65, -1.90, 51.27,,6.25,3.0,0_week,0.09945920155208998,mid_point
1346,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,28600.00,5.5,6.5, -2.15, 49.72,,6.25,3.0,0_week,0.09629940927683422,mid_point
1347,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,28700.00,5.0,6.5, -2.35, 48.63,,6.25,3.0,0_week,0.09313961700157836,mid_point
1348,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,28800.00,5.05,6.5, -3.10, 46.45,,6.25,3.0,0_week,0.08997982472632249,mid_point
1349,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,28900.00,4.75,6.5, -3.10, 45.79,,6.25,3.0,0_week,0.08682003245106673,mid_point
1350,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,29000.00,8.25,8.5, -3.00, 46.55,,6.25,3.0,0_week,0.08366024017581086,mid_point
1351,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,29100.00,6.0,8.8, -3.65, 44.42,,6.25,3.0,0_week,0.0805004479005551,mid_point
1352,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,29200.00,8.4,19.0, -3.65, 43.34,,6.25,3.0,0_week,0.07734065562529924,mid_point
1353,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,29300.00,6.25,11.5, -6.65, 40.00,,6.25,3.0,0_week,0.07418086335004337,mid_point
1354,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,29400.00,8.7,23.0, -4.10, 41.12,,6.25,3.0,0_week,0.07102107107478761,mid_point
1355,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,29500.00,10.65,11.3, -4.75, 40.03,,6.25,3.0,0_week,0.06786127879953174,mid_point
1356,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,29600.00,10.15,12.5, -4.50, 38.24,,6.25,3.0,0_week,0.06470148652427599,mid_point
1357,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,29700.00,10.0,12.9, -2.90, 38.08,,6.25,3.0,0_week,0.06154169424902012,mid_point
1358,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,29800.00,11.45,12.0, -7.15, 35.99,,6.25,3.0,0_week,0.05838190197376425,mid_point
1359,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,29900.00,10.0,14.3, -10.70, 33.88,,6.25,3.0,0_week,0.05522210969850849,mid_point
1360,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,30000.00,13.7,13.8, -13.80, 33.51,,6.25,3.0,0_week,0.052062317423252624,mid_point
1361,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,30100.00,13.1,14.8, -18.90, 31.51,,6.25,3.0,0_week,0.04890252514799687,mid_point
